query_date,outbound_date,return_date,leg,airline,departure,arrival,duration,stops,price,price_type,in_time_window,is_best,current_price_level,booking_url
2026-09-05,2026-12-16,2026-12-22,outbound,STARLUX Airlines,"8:25 AM on Wed, Dec 16","12:35 PM on Wed, Dec 16",3 hr 10 min,0,NT$14373,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,STARLUX Airlines,"10:10 AM on Wed, Dec 16","2:20 PM on Wed, Dec 16",3 hr 10 min,0,NT$14373,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,Cathay Pacific,"12:50 PM on Wed, Dec 16","4:50 PM on Wed, Dec 16",3 hr,0,NT$14438,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,China Airlines,"12:35 PM on Wed, Dec 16","4:35 PM on Wed, Dec 16",3 hr,0,NT$14771,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,China Airlines,"9:30 AM on Wed, Dec 16","1:30 PM on Wed, Dec 16",3 hr,0,NT$15458,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,EVA Air,"8:50 AM on Wed, Dec 16","12:55 PM on Wed, Dec 16",3 hr 5 min,0,NT$15644,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,outbound,JAL,"10:55 AM on Wed, Dec 16","2:55 PM on Wed, Dec 16",3 hr,0,NT$16256,round_trip,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMTYoAGoFEgNUUEVyBRIDTlJUGhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQE=
2026-09-05,2026-12-16,2026-12-22,return,STARLUX Airlines,"1:45 PM on Tue, Dec 22","4:50 PM on Tue, Dec 22",4 hr 5 min,0,NT$7661,one_way,FALSE,TRUE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,China Airlines,"9:20 AM on Tue, Dec 22","12:30 PM on Tue, Dec 22",4 hr 10 min,0,NT$7965,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,EVA Air,"1:00 PM on Tue, Dec 22","4:05 PM on Tue, Dec 22",4 hr 5 min,0,NT$9051,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,EVA Air,"2:00 PM on Tue, Dec 22","5:05 PM on Tue, Dec 22",4 hr 5 min,0,NT$9051,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,EVA Air,"8:20 PM on Tue, Dec 22","11:25 PM on Tue, Dec 22",4 hr 5 min,0,NT$9051,one_way,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,Cathay Pacific,"3:30 PM on Tue, Dec 22","6:35 PM on Tue, Dec 22",4 hr 5 min,0,NT$9703,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,STARLUX Airlines,"3:40 PM on Tue, Dec 22","6:45 PM on Tue, Dec 22",4 hr 5 min,0,NT$9948,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,STARLUX Airlines,"8:10 PM on Tue, Dec 22","11:20 PM on Tue, Dec 22",4 hr 10 min,0,NT$9948,one_way,TRUE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,China Airlines,"2:35 PM on Tue, Dec 22","5:45 PM on Tue, Dec 22",4 hr 10 min,0,NT$11445,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,China Airlines,"5:45 PM on Tue, Dec 22","8:55 PM on Tue, Dec 22",4 hr 10 min,0,NT$13934,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
2026-09-05,2026-12-16,2026-12-22,return,China Airlines,"7:30 PM on Tue, Dec 22","10:45 PM on Tue, Dec 22",4 hr 15 min,0,NT$13934,one_way,FALSE,FALSE,typical,https://www.google.com/travel/flights?tfs=GhwSCjIwMjYtMTItMjIoAGoFEgNOUlRyBRIDVFBFQgEBSAGYAQI=
